
宮内委員長	これより会議を開きます。　国政調査承認要求に関する件についてお諮りいたします。　文部科学行政の基本施策に関する事項　生涯学習に関する事項　学校教育に関する事項　科学技術及び学術の振興に関する事項　科学技術の研究開発に関する事項　文化芸術、スポーツ及び青少年に関する事項以上の各事項につきまして、本会期中調査をいたしたいと存じます。　つきましては、衆議院規則第九十四条により、議長に対し、承認を求めたいと存じますが、御異議ありませんか。　　　　〔「異議なし」と呼ぶ者あり〕
宮内委員長	御異議なしと認めます。よって、そのように決しました。
宮内委員長	文部科学行政の基本施策に関する件について調査を進めます。　文部科学大臣から所信を聴取いたします。永岡文部科学大臣。
永岡国務大臣	第二百十一回国会において各般の課題を御審議いただくに当たり、私の所信を申し上げます。　文部科学行政は、人を育み、人の英知や創造力を最大限に引き出すことにより、国民の皆様の人生を幸福で豊かなものにし、我が国の成長の源泉ともなるものであり、極めて重要であると考えています。担当大臣として、国民の皆様がその成果を実感できるように、着実に取組を進めていきたいと考えております。　新型コロナの感染拡大から約三年がたちました。今後とも基本的な感染対策を講じながら、学校において子供たちが生き生きと生活を送れるよう、着実に歩みを進めていきます。　いつの時代も、教育は国家、社会の礎であり、発展の原動力です。現在、次期教育振興基本計画策定に向けた議論を進めています。また、本年五月にはＧ７富山・金沢教育大臣会合が開催されます。これらの議論を基にしつつ、将来の予測が困難な時代においても、子供たち一人一人が自ら個性を磨き、創造性を伸ばし、国際社会で活躍できる心豊かな国民に成長するよう、教育振興、教育投資の充実に努めてまいります。　令和の日本型学校教育の実現のためには、学習指導要領の下での、個別最適な学びと協働的な学びとの一体的な充実が不可欠です。また、デジタルと対面での実体験の最適な組合せにより、子供たちの学びを充実させることも大切です。　質の高い教育を実現するため、教職員が安心して本務に集中できる環境づくりや、質の高い教師の確保に全力で取り組んでまいります。小学校における三十五人学級の計画的な整備や高学年教科担任制の推進、多様な支援スタッフの充実により、指導体制の一層の整備を図り、校務ＤＸの加速を含め、学校における働き方改革を更に推進します。また、今春速報値を公表する勤務実態調査の結果等を踏まえ、給特法等の法制的な枠組みを含めた教師の処遇等の在り方を検討します。教育公務員特例法の改正を踏まえた、新たな教師の学びを実現する研修の高度化を図るとともに、特別免許状の活用促進等による多様な人材の教職への登用促進や、強み、専門性を身につけることと両立可能な教職課程の特例開設を含む、中央教育審議会答申を踏まえた教師の養成、採用、研修の一体的な改革を進めます。　ＧＩＧＡスクール構想については、端末更新の時期を見据えつつ、全国の学校が一人一台端末を当たり前のツールとして活用できるよう、運営支援センターの機能強化や好事例の創出、展開を図ります。その際、デジタル教科書の普及促進により、児童生徒の学びの充実を進めます。　初等中等教育における理数教育の充実や高等学校での文理横断・探究的教育を一層充実し、女子高校生の理系選択者の増加に向けた取組を推進します。また、産業教育の充実、通信制高校の質保証を推進します。　幼児教育の質の向上も重要です。本年四月に発足するこども家庭庁とも連携しながら、全ての子供に学びや生活の基盤を育むため、各地域における幼保小接続期のカリキュラム開発、実施等を進めます。　子供たちを取り巻く様々な課題や地域の課題の解決のため、地域や家庭と学校とが連携した取組の推進が重要です。全ての学校での学校運営協議会制度の導入に向けた取組を加速するとともに、社会教育に関する施設と人材が連携した地域での学びと実践の場づくりを促進します。休日の部活動について、様々な課題に対応しつつ、地域の実情に応じ、地域連携や地域クラブ活動移行に向けた環境整備を進めます。　学校施設については、学びの場であるとともに、災害時には避難所ともなることから、教育環境の向上と老朽化対策などを一体的に進めます。　ソサエティー五・〇に向けた人材育成やイノベーション創出の基盤として、大学や高等専門学校等は、我が国の社会や経済を支えることのみならず、世界が直面する課題の解決に貢献することが期待されています。　このため、学修者本位の教育への転換、教育研究基盤の強化を進めるとともに、社会人の学び直しの充実や、国際的な学生交流や大学の国際化の推進等を通じた、新たな価値が創造される場の形成を進めます。意欲ある大学等がデジタル、グリーンなどの成長分野への学部転換等の改革にちゅうちょなく踏み切れるよう、基金により、強力に支援します。また、産業界や諸外国から高い評価を受ける高等専門学校については、機能の高度化、国際化、地域の人材ニーズを踏まえた取組を進めます。　私立学校が今後も持続的な発展を遂げるため、学校法人のガバナンスについて、社会の要請に応えつつ、主体性を持って実効性ある改革を推進するための法案を今国会に提出しているところです。　これらの政策の実現に向け、国立大学法人等の運営費交付金や施設整備費補助金、私学助成など基盤的経費を安定的に確保してまいります。　総理を議長とする教育未来創造会議において取りまとめた第一次提言の着実な実行とともに、コロナ後のグローバル社会を見据えた人への投資の具体化に向け、日本人学生の海外派遣の拡大や、有望な留学生の受入れを推進するための方策など、第二次提言取りまとめに向けた議論を、Ｇ７広島サミットを見据え進めます。　様々な課題を抱える子供たちを誰一人取り残さず、可能性を最大限に引き出すことが極めて重要です。こども家庭庁と連携しながら、子供、子育て政策の充実を進めます。　少子化問題や格差解消のためにも、経済事情によらず、誰もが質の高い教育を受けられることは大変重要です。幼児期から高等教育まで切れ目ない形で、教育の無償化や負担軽減を着実に実施します。特に、学部段階の給付型奨学金と授業料減免の中間層への拡大や、大学院における授業料の後払いの仕組みを、令和六年度からの実施に向け、着実に準備を進めます。　昨年度、小中高等学校における不登校児童生徒数が約三十万人と過去最多になりました。不登校特例校の設置促進等全ての不登校児童生徒の学びの場の確保、課題を抱える児童生徒の兆候の早期発見、早期支援、安心して学べる学校づくり等について検討を行い、本年度内に実効性のある対策を取りまとめます。障害のある児童生徒への通級による指導や病気療養児へのＩＣＴ活用、医療的ケア児への支援など特別支援教育の充実を図ります。子供たちが安心して学校で過ごせるよう、養護教諭等の支援体制の強化を進めます。さらに、日本語指導が必要な児童生徒、貧困、虐待等の困難を抱える児童生徒、特異な才能のある児童生徒、僻地の児童生徒等についても、一人一人の教育的ニーズに的確に応える学びの場を提供します。夜間中学の全都道府県等での設置を促進します。在外教育施設における教育を更に振興します。　いじめは決して許されるものではありません。早期の組織的対応の徹底、警察等の関係機関との連携強化、総合教育会議の活用及び首長部局との連携協力等の必要性を周知するとともに、いじめの重大事態に対して関係府省と連携して状況把握や助言など必要な施策を講じてまいります。　通学路を含む学校安全の取組を推進するとともに、送迎バスの安全装置の義務化、支援を行います。また、児童生徒等に対する性犯罪、性暴力等の根絶に向け、生命（いのち）の安全教育の取組を進めるとともに、教育職員の性暴力等防止法を踏まえた取組を徹底します。　科学技術立国は、岸田内閣の成長戦略の重要な柱です。本年五月にはＧ７仙台科学技術大臣会合が開催されます。成長の原動力である科学技術イノベーションへの投資を力強く実行してまいります。　近年、我が国の研究力は相対的に低下しており、研究力の強化が喫緊の課題です。　このため、大学の研究基盤への長期的、安定的な支援が不可欠です。世界最高水準の研究大学の実現に向け、国際卓越研究大学の公募、選定を進めるとともに、地域の中核大学や、特定分野に強みを持つ大学の抜本的な強化等を図ります。　若手研究者への支援を一層強化してまいります。博士後期課程学生への経済的支援の充実を図るとともに、博士号取得者が幅広く活躍できるキャリアパスの整備に取り組みます。研究者等の雇用管理については、引き続き、各機関に適切な対応を促します。　また、持続的なイノベーションの創出には、学術研究、基礎研究の充実が極めて重要です。科研費、戦略的創造研究推進事業、創発的研究支援事業や世界トップレベル研究拠点プログラム等の充実、国際共同研究の抜本的強化等により、研究者の挑戦を支援します。　そうした研究の成果を社会に実装するための産学官による共創の場の形成等を進めます。加えて、大学・高専発スタートアップを次々と創出する環境の整備や、社会に新たな価値を生み出す人材を育てる起業家教育の産学官による充実を図ります。　研究施設・設備やデータの活用も重要です。次世代放射光施設ナノテラスの共用を促進するための法案を提出するとともに、世界最高水準の大型研究施設の整備及び共用、次世代計算基盤の調査研究を進め、また、分野を超えた全国的な研究データ基盤の構築など研究ＤＸを推進します。　社会課題の解決と重要技術の研究開発にも積極的に取り組みます。　二〇五〇年カーボンニュートラルの達成に向け、半導体や蓄電池、バイオものづくり等の革新的な環境・エネルギーに関する研究開発、ＩＴＥＲ計画等の核融合研究のほか、高温ガス炉に係る研究開発、高速実験炉常陽の早期運転再開を含めた高速炉開発等の次世代革新炉に係る研究開発にも着実に取り組みます。　また、ＡＩ等の情報科学技術、マテリアル、再生・細胞医療、遺伝子治療といったライフサイエンスなど、重要技術の研究開発を戦略的に進めます。このうち、量子分野では、国産量子コンピューターの公開や最先端の計算環境整備等の取組を進めます。感染症危機に備え、早期検知や国産ワクチン開発のための世界トップ研究開発拠点の形成等を進めます。　宇宙分野は、フロンティアとしてのみならず、新たな産業創出や安全保障の観点からも重要です。イプシロンロケット六号機に続いてＨ３ロケット試験機一号機の打ち上げが失敗となったことは大変遺憾です。宇宙開発利用の進展を止めないよう、速やかな原因究明に全力で取り組みます。日本人初の月面着陸を目指すアルテミス計画や、宇宙科学・探査、基幹ロケットの開発、革新的将来宇宙輸送システムの研究開発等を進めます。　さらに、南海トラフの地震津波観測網の構築を含む防災分野の研究開発や、北極域研究船の建造を含む海洋・極域に関する研究開発、「もんじゅ」や「ふげん」の安全、着実かつ計画的な廃止措置等の原子力に関する取組を推進します。　科学技術イノベーション分野においても、経済安全保障の推進が重要です。関係府省と連携し、先端的な重要技術の育成と、それらの技術を適切に守る取組を車の両輪として進めてまいります。　スポーツには、国民一人一人の人生を豊かにするのみならず、社会を変え、未来をつくり上げる力があります。東京オリンピック・パラリンピック競技大会のスポーツレガシーの継承、発展に向けて、第三期スポーツ基本計画に基づく施策を着実に推進し、スポーツそのものの価値や社会活性化等へ寄与といった価値を更に高め、スポーツ立国の実現を目指します。その一方で、同大会の関係者が逮捕されるという事態が生じてしまったことは極めて遺憾です。国際競技大会等の運営の透明性、公正性の確保、スポーツ団体のガバナンスや経営力の強化に向けて取り組んでまいります。ドーピング防止活動等を通じたスポーツの誠実性、健全性、高潔性の確保等を進めるとともに、デジタル技術も活用し、アスリートの国際競技力向上やセカンドキャリア形成支援、学校体育の充実や地域における持続可能で多様な子供たちのスポーツ環境整備、国民のスポーツ実施率向上を図ります。　また、スポーツを通じた健康増進や経済活性化、地域振興や共生社会の実現に取り組みます。　文化芸術は、国民の心を豊かにし、人々の生活に潤いと活力を与え、創造的産業や観光振興等の経済活動においても新たな需要や高い付加価値を生み出す源泉です。本年三月から、京都での文化庁の業務を開始します。移転を契機に、文化芸術による地方創生など我が国の文化行政の更なる強化に取り組んでまいります。　現在、第二期文化芸術推進基本計画を今年度中に策定することを目指し議論を進めています。計画に基づき、更に幅広い文化芸術による国づくりを推進し、日本文化の魅力を国内外へ発信します。文化芸術活動の基盤の強化を図るとともに、子供たちの文化芸術体験の機会を充実します。　日本語教育機関の推進の維持向上と教員の能力及び資質の向上を図るための法案、そして、ＤＸ時代に対応した著作物の公正な利用と権利の適切な保護を図る法案を今国会に提出します。　日本博二・〇を進めるとともに、文化芸術のグローバル展開、国立劇場の再整備などの文化施設や改正博物館法を踏まえた博物館の機能強化、日本遺産等の地域の文化資源の磨き上げ、地域一体となった文化観光の推進への支援や食文化の振興を進めてまいります。また、文化財の匠プロジェクトの推進など文化資源の保存と活用を一層推進します。　佐渡島の金山については、世界遺産登録に向け、推薦書正式版を提出しました。登録が実現するよう、引き続き新潟県、佐渡市及び関係省庁と連携して取り組んでまいります。　旧統一教会に関しては、報告徴収、質問権の行使等を通じて、具体的な証拠や資料を伴う客観的な事実を明らかにするための対応を進め、その上で、法律にのっとり必要な措置を講じてまいります。また、不活動宗教法人対策を徹底してまいります。　東日本大震災から十二年を迎えます。引き続き、就学支援や心のケア、学校再開支援など、被災者の皆様に寄り添った復興に取り組みます。また、福島国際研究教育機構の設立に協力するとともに、廃炉に関する研究開発や人材育成、原子力損害賠償に着実に取り組みます。　私は、就任以降、現場の声を大事にしています。学校や研究機関などを積極的に訪問し、お話を伺ってきました。今後もできる限り現地に足を運び、その声にしっかりと耳を傾け、母親や女性の視点も大切にしながら、様々な課題に対して果敢に取り組むとともに、文部科学省の働き方改革も進めてまいります。引き続き、関係各位の御指導、御鞭撻のほど、よろしくお願い申し上げます。（拍手）　なお、先ほど、日本語教育機関の推進と申し上げましたが、水準の間違いでございますので、改めて訂正を申し上げます。
宮内委員長	次に、令和五年度文部科学省関係予算の概要について説明を聴取いたします。簗文部科学副大臣。
簗副大臣	令和五年度文部科学省関係予算につきまして、その概要を御説明申し上げます。　令和五年度予算においては、一般会計五兆二千九百四十一億円、エネルギー対策特別会計千八十六億円などとなっております。　第一に、個別最適な学びと協働的な学びの実現として、小学校における三十五人学級や高学年の教科担任制、学校における働き方改革を推進するとともに、教師の研修体制の構築を図ります。また、ＧＩＧＡスクール構想の着実な推進と学校ＤＸの加速や、幼児教育の質向上と小学校への円滑な接続、高等学校改革、学校健康教育等を推進します。　さらに、運動部、文化部活動の地域連携や地域クラブ活動移行に向けた環境の一体的整備を進めます。　第二に、新しい時代の学びを支える学校施設の整備として、教育環境の向上と老朽化対策の一体的整備、キャンパスの共創拠点化、脱炭素化など学校施設等の整備を推進します。　第三に、高等教育機関の多様なミッションの実現として、基盤的経費の充実やめり張りある配分による改革の徹底、高等専門学校の高度化、国際化を推進するとともに、高度専門人材の育成等を推進します。　第四に、誰もが学ぶことができる機会の保障として、いじめ、不登校対策等の推進や夜間中学の設置促進、生涯を通じた障害者の学びを推進するとともに、日本語教育、外国人児童生徒等への教育等の充実や、在外教育施設の機能強化を進めます。　また、地域と学校の連携、協働、体験活動の充実、学校安全体制の整備を進めるとともに、リカレント教育等社会人が学び直す機会の拡充を進めます。　さらには、高校生、大学生、専門学校生等への修学支援の確実な実施など、各教育段階の負担軽減による学びのセーフティーネットを構築します。　第五に、スポーツ立国の実現を目指し、子供の体力向上や持続可能な競技力向上体制の確立、多様な主体によるスポーツ参画の促進と共生社会の実現、スポーツの成長産業化、スポーツによる地方創生等に取り組みます。　第六に、文化芸術立国の実現を目指し、文化芸術のグローバル展開や文化芸術に触れる機会の提供、創造性豊かな子供の育成等に取り組みます。　また、文化財の匠プロジェクト等の推進、充実による文化資源の持続可能な活用促進や、文化振興を支える拠点等の整備、充実を図ります。　第七に、我が国の抜本的な研究力向上と優秀な人材の育成のため、国際卓越研究大学と地域中核、特色ある研究大学の振興を両輪で進めるとともに、博士課程学生を含めた若手研究者支援を強化します。加えて、科研費を始め、研究者のキャリアや研究成果に応じた切れ目のない研究費の支援の充実を図るとともに、国際共同研究の推進や国際研究拠点の形成等を通じて国際頭脳循環を加速します。　また、ソサエティー五・〇を実現し未来を切り開くイノベーションの創出に向け、スタートアップ創出支援、研究ＤＸの推進、次世代放射光施設ナノテラスを始めとする世界最高水準の大型研究施設の整備、成果創出等に取り組みます。　第八に、量子、ＡＩ、マテリアル、健康・医療等の国家戦略を踏まえた重点分野の研究開発を戦略的に推進します。特に、量子コンピューターとスーパーコンピューターの組合せにより研究ＤＸ基盤を高度化するとともに、国立研究開発法人の研究開発基盤を強化します。　また、国民の安全、安心やフロンティアの開拓に資する課題解決型の研究開発として、アルテミス計画を含む宇宙・航空分野、海洋・極域分野、防災・減災分野、ＧＸの実現に向けた半導体や核融合等の環境・エネルギー分野、次世代革新炉等の原子力分野の研究開発を推進します。　以上、令和五年度文部科学省関係予算の概要につきまして、御説明申し上げました。　なお、これらの具体的な内容につきましては、お手元に資料をお配りいたしておりますので、説明を省略させていただきます。
宮内委員長	以上で説明は終わりました。　次回は、来る十日金曜日午前八時五十分理事会、午前九時委員会を開会することとし、本日は、これにて散会いたします。　　　　午前九時二十六分散会
宮内委員長	これより会議を開きます。　文部科学行政の基本施策に関する件について調査を進めます。　この際、お諮りいたします。　本件調査のため、本日、政府参考人として内閣府地方創生推進室次長黒田昌義君、警察庁長官官房審議官友井昌宏君、生活安全局長山本仁君、外務省大臣官房国際文化交流審議官金井正彰君、文部科学省大臣官房長望月禎君、大臣官房文部科学戦略官伊藤学司君、大臣官房文教施設企画・防災部長笠原隆君、総合教育政策局長藤江陽子君、初等中等教育局長藤原章夫君、高等教育局私学部長茂里毅君、科学技術・学術政策局長柿田恭良君、研究振興局長森晃憲君、研究開発局長千原由幸君、国際統括官岡村直子君、スポーツ庁次長角田喜彦君、文化庁次長杉浦久弘君、文化庁次長合田哲雄君、経済産業省大臣官房福島復興推進グループ長片岡宏一郎君、国土交通省大臣官房審議官佐々木俊一君の出席を求め、説明を聴取いたしたいと存じますが、御異議ありませんか。　　　　〔「異議なし」と呼ぶ者あり〕
宮内委員長	御異議なしと認めます。よって、そのように決しました。
宮内委員長	質疑の申出がありますので、順次これを許します。柚木道義君。
